סמל מוסד,שם מוסד,ישוב לימודים,כתובת מוסד,מחוז גאוגרפי לחינוך,שלב חינוך כיתה,מגזר,טלפון,מספר תלמידים,נמצאים במערכת לא נכללו בגדולים 
190066,מכון בית יעקב למורות,ירושלים,ברנדיס,ירושלים,"חט""ע",יהודי,02-531-8611,638,"4 יחידות - כיתה יא' כרך א' (שאלון 471)
471 ב'- לכיתה י""א מהדורה חרדית
471 ג'- לכיתה י' מהדורה חרדית
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה
סאלד א - ספר ורוד
סאלד ב- ספר סגול
סאלד ג- ספר כחול (גאומטריה)"
844076,קרית חינוך דרור,בני דרור,בני דרור,מרכז,"חט""ע",יהודי,09-761-3711,484,"4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות"
444828,שש שנתי איש שלום,כפר יונה,הארזים,מרכז,"חט""ע",יהודי,09-894-7748,445,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
440016,תיכון דה שליט,רחובות,מנוחה ונחלה 58,מרכז,"חט""ע",יהודי,08-946-9276,402,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
540328,עירוני כללי הראשונים,הרצליה,הרב קוק 30,תל אביב,"חט""ע",יהודי,09-956-7498,375,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
440180,מקיף הדסים,אבן יהודה,שכ הדסים,מרכז,"חט""ע",יהודי,09-899-9252,365,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
370072,עמל חדרה למדעים ולאמנויות,חדרה,באר אורה 1,חיפה,"חט""ע",יהודי,04-633-3991,352,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
270140,קמפוס פרס חדשנות ומנהיגות,יקנעם עילית,שד יצחק רבין 4,צפון,"חט""ע",יהודי,04-989-2878,349,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
804/806 ב'
805
806 ג
806 ד
חוברת קדם אנליזה"
644450,מקיף ה דרכא,אשקלון,שד' הציונות 18,דרום,"חט""ע",יהודי,08-684-7753,341,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
144501,תיכון הראל,מבשרת ציון,הברוש 70,ירושלים,"חט""ע",יהודי,02-533-3466,338,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805"
719542,תיכון גני תקווה,גני תקווה,דרך הים,מרכז,"חט""ע",יהודי,03-678-2989,334,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
770453,"תיכון ע""ש קציר",רחובות,קליין דב 1,מרכז,"חט""ע",יהודי,08-947-6526,334,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
חוברת קדם אנליזה"
441808,תיכון אביב,רעננה,הפרחים 1,מרכז,"חט""ע",יהודי,09-774-8220,320,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
803
חוברת קדם אנליזה"
770826,עירוני ו' מקיף,באר שבע,בית אל 1,דרום,"חט""ע",יהודי,08-642-0410,310,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
801
802
802 נספח
803"
370395,"עי""ס כרמים בנימינה גבעת עדה",בנימינה-גבעת עדה,דרך המסילה 87,חיפה,"חט""ע",יהודי,04-638-8733,309,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805
806 ג
806 ד
807 א
807 ב
חוברת קדם אנליזה"
470443,רמות ים,מכמורת,מכמורת,מרכז,"חט""ע",יהודי,09-866-2213,299,"4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
802
802 נספח
803
806 ג
חוברת קדם אנליזה"
344382,תכון חדרה בית-אליעזר,חדרה,הר הנגב,חיפה,"חט""ע",יהודי,04-620-8286,292,"4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805"
340281,תיכון חדרה,חדרה,לבזובסקי 6,חיפה,"חט""ע",יהודי,073-238-0302,290,"4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
803
804 ג
804 ד
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
805"
441139,"תיכון ע""ש גולדה מאיר",פתח תקווה,בראון אריה 3,תל אביב,"חט""ע",יהודי,03-641-7722,287,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
חוברת קדם אנליזה"
659235,"תיכון ע""ש בגין",רמת גן,רפאל איתן 1,תל אביב,"חט""ע",יהודי,03-674-9772,280,"4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
801
802
802 נספח
803
804/806 א
804/806 ב'
806 ג
806 ד
חוברת קדם אנליזה"
442061,אליעזר בן יהודה,נס ציונה,שמיד ישראל 26,מרכז,"חט""ע",יהודי,08-940-0051,279,"3 יחידות - כיתה יא' כרך א' אשכול חברה ומדע (שאלון 371)
3 יחידות - כיתה יא' כרך ב' אשכול חברה ומדע (שאלון 371)
4 יחידות - כיתה י' כרך א' (שאלון 471)
4 יחידות - כיתה י' כרך ב' (שאלון 471)
4 יחידות - כיתה י' כרך ג' (שאלון 471)
4 יחידות - כיתה יא' כרך א' (שאלון 471)
4 יחידות - כיתה יא' כרך ב' (שאלון 471)
804/806 א
804/806 ב'
804/806 נספח א' גיאומטריה המעגל
804/806 נספח ב' פונקציות רציונליות
חוברת קדם אנליזה"
